recipe_id;name;link;ingredients;calories;fat;sodium;sugars;protein;rating;rating_count
b7526c6b-560b-4000-a4da-9112bcaa657a;worldsgreatestvegetablebroth;https://www.allrecipes.com/recipe/14033/worlds-greatest-vegetable-broth/;1  pounds sweet onions, peeled and cut into wedges,1 pound tomatoes, cored and quartered,1 pound carrots, cut into 1inch pieces,1 pound green bell pepper, cut into 1inch pieces, pound turnips, cubed,2 tablespoons olive oil,1 pound celery, cut into 1inch pieces,1 bunch fresh parsley, chopped,3 cloves garlic,6 whole black peppercorns,3 whole cloves,1 bay leaf,1 gallon water,;133;4.0;132.0;11.0;4.0;4.7;133
0963f4ff-93f8-4ed4-a637-dae8e6c36d84;puertoricantostonesfriedplantains;https://www.allrecipes.com/recipe/16768/puerto-rican-tostones-fried-plantains/;1 green plantain,5 tablespoons oil for frying,3 cups cold water,salt to taste,;136;3.0;14.0;13.0;1.0;4.6;132
021225d2-16e5-4107-a67c-71b566d8f557;bakedbeansfromscratch;https://www.allrecipes.com/recipe/165249/baked-beans-from-scratch/;1 cup navy beans, soaked overnight and drained,4 cups water, cup ketchup, cup maple syrup,2 tablespoons brown sugar,2 tablespoons molasses,1 teaspoon worcestershire sauce, teaspoon salt, teaspoon ground black pepper, teaspoon chili powder,1 small onion, chopped,;122;0.0;196.0;12.0;5.0;4.5;133
fd3a9173-c4a1-4844-9bac-3a47a9947bd0;airfryerfingerlingpotatoes;https://www.allrecipes.com/recipe/277321/air-fryer-fingerling-potatoes/;1 pound fingerling potatoes, halved lengthwise,1 tablespoon olive oil, teaspoon ground paprika, teaspoon parsley flakes, teaspoon garlic powder,salt and ground black pepper to taste,;120;4.0;47.0;0.0;2.0;4.8;13
72025d76-e3cc-488f-b6d2-399d68049120;lemonorangeorangeroughy;https://www.allrecipes.com/recipe/40061/lemon-orange-orange-roughy/;1 tablespoon olive oil,4 4 ounce fillets orange roughy,1 orange, juiced,1 lemon, juiced, teaspoon lemon pepper,;140;4.0;139.0;4.0;19.0;4.4;253
8e322949-3103-4d0b-a555-789c248e5b40;classicturkeyandricesoup;https://www.allrecipes.com/recipe/235307/classic-turkey-and-rice-soup/;1 turkey carcass,1 large onion, halved and skin left on,1 large carrot, roughly chopped,1 stalk celery, roughly chopped,1 head garlic, halved,1 teaspoon dried rosemary,1 teaspoon dried thyme,2 bay leaves,salt and ground black pepper to taste,2 quarts water, or as needed,2 large onions, diced,2 carrots, diced,2 stalks celery, diced,2 cloves garlic, minced,1 teaspoon poultry seasoning,1 teaspoon dried rosemary,1 teaspoon onion powder,2 cups cooked rice,salt and ground black pepper to taste,;115;2.0;56.0;4.0;3.0;4.5;41
50561f85-c45a-4524-bfbb-2c0c120ab233;bakedbananachips;https://www.allrecipes.com/recipe/261342/baked-banana-chips/;2 justripe bananas, sliced in 110inchthick rounds, or more as needed,1 teaspoon lemon juice, or to taste,;106;0.0;1.0;15.0;1.0;2.6;10
f7775d1e-14c8-49ce-82f5-3bb18bf623ea;easyappleslaw;https://www.allrecipes.com/recipe/34615/easy-apple-coleslaw/;3 cups chopped cabbage,1 unpeeled red apple, cored and chopped,1 unpeeled granny smith apple, cored and chopped,1 carrot, grated, cup finely chopped red bell pepper,2 green onions, finely chopped, cup mayonnaise, cup brown sugar,1 tablespoon lemon juice, or to taste,;137;5.0;108.0;20.0;1.0;4.6;788
05a17068-9779-4c0c-9d63-3492b1a5ebfa;frozenvegetablestirfry;https://www.allrecipes.com/recipe/222658/frozen-vegetable-stir-fry/;2 tablespoons soy sauce,1 tablespoon brown sugar,2 teaspoons peanut butter,2 teaspoons garlic powder,2 teaspoons olive oil,1 16 ounce package frozen mixed vegetables,;88;3.0;345.0;3.0;4.0;4.7;262
e3a45a4c-8661-409f-b1c0-5a6fa43f39ce;jerseyfreshstewedtomatoes;https://www.allrecipes.com/recipe/254978/jersey-fresh-stewed-tomatoes/;6 large tomatoes  peeled, cored, and chopped, cup chopped green bell pepper, cup chopped sweet onion, cup chopped celery,1 teaspoon white sugar, teaspoon salt, teaspoon dried oregano, teaspoon dried basil, teaspoon black pepper,1 tablespoon water,1  teaspoons cornstarch,;37;0.0;159.0;5.0;2.0;4.9;29
