recipe_id;name;link;ingredients;calories;fat;sodium;sugars;protein;rating;rating_count
070f8a4c-0d37-4394-a88f-b640c4b20313;quickcookingoats;https://www.eatingwell.com/recipe/269640/quick-cooking-oats/;1 cup water or lowfat milk, pinch of salt,  cup quickcooking oats see tip, 1 oz lowfat milk for serving, 1 to 2 teaspoons honey, cane sugar or brown sugar for serving, pinch of cinnamon;150;3;152;1;5;4.0;2.0
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;fruityogurtsmoothie;https://www.eatingwell.com/recipe/249318/fruit-yogurt-smoothie/;34 cup nonfat plain yogurt, 12 cup 100 pure fruit juice, 1 12 cups 6 12 ounces frozen fruit, such as blueberries, raspberries, pineapple or peaches;279;2;149;46;12;4.3;21.0
2aa2a320-8182-43ac-8854-7bcb18a1da08;veggiehummussandwich;https://www.eatingwell.com/recipe/259817/veggie-hummus-sandwich/;2 slices wholegrain bread, 3 tablespoons hummus,  avocado, mashed,  cup mixed salad greens,  medium red bell pepper, sliced,  cup sliced cucumber,  cup shredded carrot;325;14;407;7;13;4.6;29.0
aa472bb2-3591-4c38-a248-9a53173af83f;roastedhoneynutsquash;https://www.eatingwell.com/recipe/268480/roasted-honeynut-squash/;2 medium honeynut squash, halved lengthwise and seeded, 4 teaspoons butter,  teaspoon salt,  teaspoon ground pepper,  teaspoon ground cinnamon, 4 teaspoons pure maple syrup optional;114;4;153;4;2;4.9;10.0
98488b8d-fbc7-4b09-84f5-14a419b35345;quickcucumberkimchi;https://www.eatingwell.com/recipe/250130/quick-cucumber-kimchi/;2 pickling cucumbers or other small cucumbers about 8 ounces, 1 teaspoon kosher salt, 2 cloves garlic, finely chopped, 2 scallions, white and light green parts only, finely chopped, 1 14inch piece fresh ginger, peeled and finely chopped, 2 tablespoons rice vinegar, 1 tablespoon korean chile powder see note, 2 teaspoons sugar,  teaspoon fish sauce see note;8;0;64;1;0;4.2;11.0
4912deeb-8e78-4729-ba80-4cbffb029ec4;sautedbrusselssproutswithbacononions;https://www.eatingwell.com/recipe/249972/sauteed-brussels-sprouts-with-bacon-onions/;2  pounds brussels sprouts, trimmed, 4 slices bacon, cut into 1inch pieces, 1 tablespoon extravirgin olive oil, 1 large onion, diced, 4 sprigs thyme or savory, plus 2 teaspoons leaves, divided, 1 teaspoon salt, freshly ground pepper, to taste, 2 teaspoons lemon juice optional;77;3;303;3;4;4.9;14.0
6e0f2ef1-8bd6-4f7f-9fda-962cc7ea374d;chholechickpeacurry;https://www.eatingwell.com/recipe/255186/chickpea-curry-chhole/;1 medium serrano pepper, cut into thirds, 4 large cloves garlic, 1 2inch piece fresh ginger, peeled and coarsely chopped, 1 medium yellow onion, chopped 1inch, 6 tablespoons canola oil or grapeseed oil, 2 teaspoons ground coriander, 2 teaspoons ground cumin,  teaspoon ground turmeric, 2  cups nosaltadded canned diced tomatoes with their juice from a 28ounce can,  teaspoon  kosher salt, 2 15ounce cans chickpeas, rinsed, 2 teaspoons garam masala, fresh cilantro for garnish;278;16;354;3;6;4.6;68.0
4d3c1620-1dfd-4652-8194-b0de3c434680;cinnamonrollovernightoats;https://www.eatingwell.com/recipe/268775/cinnamon-roll-overnight-oats/;2 12 cups oldfashioned rolled oats see tip, 2 12 cups unsweetened nondairy milk, such as almond or coconut, 6 teaspoons light brown sugar, 1  teaspoons vanilla extract, 1  teaspoons ground cinnamon,  teaspoon salt;191;4;323;4;6;4.1;29.0
a04fc44e-a8f9-4066-8d17-6a2734fc9e0f;vegetableweightlosssoup;https://www.eatingwell.com/recipe/261632/vegetable-weight-loss-soup/;2 tablespoons extravirgin olive oil, 1 medium onion, chopped, 2 medium carrots, chopped, 2 stalks celery, chopped, 12 ounces fresh green beans, cut into 12inch pieces, 2 cloves garlic, minced, 8 cups nosaltadded chicken broth or lowsodium vegetable broth, 2 15 ounce cans lowsodium cannellini or other white beans, rinsed, 4 cups chopped kale, 2 medium zucchini, chopped, 4 roma tomatoes, seeded and chopped, 2 teaspoons redwine vinegar,  teaspoon salt,  teaspoon ground pepper, 8 teaspoons prepared pesto;225;8;406;5;13;4.6;48.0
1deaea11-f994-4585-bbbb-33f3ef4b3dc5;peanutbutterenergyballs;https://www.eatingwell.com/recipe/275207/peanut-butter-energy-balls/;2 cups rolled oats see tip, 1 cup natural peanut butter or other nut butter,  cup honey,  cup mini chocolate chips,  cup unsweetened shredded coconut;174;9;48;10;4;4.1;29.0
