recipe_id;username;rating;comment
070f8a4c-0d37-4394-a88f-b640c4b20313;susanc;5;"I also use Old Fashioned Oats. For sugar-free flavors, I add a tad of grated nutmeg, vanilla extract, unsweetened organic dried coconut, pecans, and whatever fresh fruit I have on hand. Do not miss the sugar at all! I skip food in the AM, eat breakfast around noon (""Lunch"") and then have a regular dinner around 6:30. This allows me to observe an 8-hour intermittent fasting window. I do have an unsweetened acceptable beverage in the AM. Using this regimen, I have lost 20% of my body weight over a 4 month period. Keeping that up has allowed me to keep the weight off now for three years. My dinner includes 1-2 glasses of wine, now that I have achieved my desired weight. The more fiber I have at noon allows me to go without until dinner."
070f8a4c-0d37-4394-a88f-b640c4b20313;kate;3;Rather than using quick cooking oats, I use Old Fashioned oats and cook in the microwave for a little over a minute. Then I stir and add three pitted dates. And microwave another 30-40 seconds. Then I chop my dates up in the oatmeal with my spoon. And I add a few walnuts. No sugar, no milk!
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;angelamcknight;4;I did use agave syrup to sweeten as I made it with milk not juice and plain yogurt. When I use vanilla yogurt, I don’t use juice but milk. but tonight I only had plain yogurt and no juice hence the use of agave syrup. Recipe worked for me.
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;shalenaali;3;I used fresh squeezed orange juice, blueberries, raspberries, strawberries. Came out good and tasted good too. However, it was not very filling. Was still hungry after.
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;jenniferbowyer;4;I have a nutribullet and only needed one serving so i halved it and added milk in place of the fruit juice. I did have to add a bit more milk since i was using frozen fruit. I did have to add some sugar though.
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;pianoplayer;4;As some other folks were saying, the calories seem exaggerated for such a small drink. It did taste good, in fact very good. The flavors in my pallet were exploding. -Chase
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;nmm;5;Loved the smoothe. To make my drink a bit sweeter I added honey.
6a4c65db-3c5d-41dc-b81a-3f0f23df6b0a;eatingwelluser;4;Great tasting and filling This is a great tasting smoothie! I like it because you can make any flavors you'd like. I use orange juice and mixed berries to make mine. I have NO idea why the carbs count is so high. I plugged the listed stats into my Weight Watchers online and it said 9 points. I freaked out and plugged each item in manually and it came down to 3. Don't go by these nutrition facts, I think they might be way wrong. Pros: Taste, filling, quick, versatile
2aa2a320-8182-43ac-8854-7bcb18a1da08;judie;5;Love this recipe and make it frequently. I add a sprinkle of salt and pepper and a few shakes of hot sauce. Also, I usually toast the bread.
2aa2a320-8182-43ac-8854-7bcb18a1da08;tumbarella;5;To switch it up instead of using mixed greens I’ll substitute with alfalfa sprouts or micro greens and sprinkle with some feta cheese. So delicious!
2aa2a320-8182-43ac-8854-7bcb18a1da08;katkin09;5;Delicious. I’ve made this twice- first time per the recipe and then the second time I added julienned sun dried tomatoes that I made into another spread with a food processor. I will never leave those out again.
2aa2a320-8182-43ac-8854-7bcb18a1da08;sarahe;5;My husband and I both really enjoyed this sandwich. Made it exactly as written and it was very filling. Definitely salad on a sandwich and a nice change.
2aa2a320-8182-43ac-8854-7bcb18a1da08;liz;5;This was really good, I sliced up mini sweet peppers and used those. Next time I might add some Everything seasoning or Crushed Red Pepper. ??
